Case,Sub_row,Activity,Resource,Duration,Duration_in_days,Cost,Location,Type of structure,Cost of land,Initial budget,Budget changes,Final cost ,Final cost includes land,Total time,Time references
S13E01,29,Bought plot,Owners,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,30,Designed house,Owners,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,35,Got plan rejected,Planning department,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,49,Designed house,Architect,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,186,Demolished auditorium,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,186,Sand blasted fa ade,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,269,Revealed floor,Owners,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,277,Put in floor,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,280,Set up concrete moulds,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,281,Poured concrete,Builder,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,324,Uncovered walls,Builder,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,378,Poured concrete,Builder,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,383,Put up frame,Builder,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,400,Removed plaster,Owners,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,429,Insulated walls,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,429,Applied studwork,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,430,Put in windows,Joiner,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,432,Cleaned brickwork,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,433,Waterproofed roof,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,441,Placed lintels,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,617,Rendered fa ade,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E01,618,Cladded fa ade,,,,,South Yorkshire,Concrete,90.000,350.000,400.000,450.000,yes,,"185-two months, 251-five months, 382-three or four months, 403-eight months"
S13E02,26,Designed house,Owners,,,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
S13E02,41,Bought plot,Owners,,,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
S13E02,146,Negotiated with neighbours,Owners,10 months,304,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
S13E02,166,Took down garden walls,Builder,1 month,30,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
S13E02,253,Laid foundations,,2 months,61,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
S13E02,309,Rebuilt garden walls,,,,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
S13E02,349,Excavated basement,,7 months,213,,North London,Concrete,405.000,650.000,850.000,900.000,unknown,3 years since first met,"149-six months, 160-10 months, 223-12 months in planning, 316-6 months in construction, 384-eight months in construction, 477-11 months, 509-15 months, 589-4 months no work"
